web-scraper-order,web-scraper-start-url,category,category-href,page,page-href,name,price,link,link-href,instock
"1597509028-4073","https://mdcomputers.in","Corsair Hydro X","https://mdcomputers.in/corsair_hydro_x.html","","","CORSAIR Hydro X Series XF Hardline 12mm OD Fittings four Pack (Black)","₹2,326","CORSAIR Hydro X Series XF Hardline 12mm OD Fittings four Pack (Black)","https://mdcomputers.in/corsair-hydro-x-xf-hardline-12mm-black-cx-9052001-ww.html","null"
"1597508623-1258","https://mdcomputers.in","Monitors","https://mdcomputers.in/monitors","","","AOC E970SWN5 - 19 Inch Monitor (5ms Response Time, HD TN Panel, D-sub)","₹4,200","AOC E970SWN5 - 19 Inch Monitor (5ms Response Time, HD TN Panel, D-sub)","https://mdcomputers.in/aoc-18-5-inch-e970swn5.html","null"
"1597508772-1635","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","4","https://mdcomputers.in/graphics-card?page=4","ZOTAC GAMING GeForce RTX 2060 SUPER AMP Extreme 8GB GDDR6 256-bit 14Gbps Gaming Graphics Card, IceStorm 2.0, Extreme Overclock, Spectra Lighting, ZT-T20610B-10P","₹40,905","ZOTAC GAMING GeForce RTX 2060 SUPER AMP Extreme 8GB GDDR6 256-bit 14Gbps Gaming Graphics Card, IceStorm 2.0, Extreme Overclock, Spectra Lighting, ZT-T20610B-10P","https://mdcomputers.in/zotac-rtx-2060-super-amp-extreme-8gb-gddr6-zt-t20610b-10p.html","null"
"1597508705-1490","https://mdcomputers.in","Cabinet (Case)","https://mdcomputers.in/cabinet","3","https://mdcomputers.in/cabinet?page=3","Deepcool GamerStorm Macube 550 (ATX) Full Tower Cabinet With Tempered Glass Side Panel (Black)","₹9,249","Deepcool GamerStorm Macube 550 (ATX) Full Tower Cabinet With Tempered Glass Side Panel (Black)","https://mdcomputers.in/deepcool-gamerstorm-macube-550-black-full-tower-gs-atx-macube550-bkg0p.html","null"
"1597508874-1858","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","","","ADATA AX4U3600316G18A-DT60 Desktop Ram XPG SPECTRIX D60G Series 32GB (16GBx2) DDR4 3600MHz RGB","₹17,000","ADATA AX4U3600316G18A-DT60 Desktop Ram XPG SPECTRIX D60G Series 32GB (16GBx2) DDR4 3600MHz RGB","https://mdcomputers.in/adata-xpg-spectrix-d60g-32gb-ddr4-3600mhz-ax4u3600316g18a-dt60.html","null"
"1597508727-1564","https://mdcomputers.in","Power Supply","https://mdcomputers.in/smps","3","https://mdcomputers.in/smps?page=3","SEASONIC S12II 520 SMPS - 520 Watt 80 Plus Bronze Certification PSU With Active PFC","₹5,671","SEASONIC S12II 520 SMPS - 520 Watt 80 Plus Bronze Certification PSU With Active PFC","https://mdcomputers.in/seasonic-s12ii-520-watt-80-plus-bronze-ss-520gb.html","null"
"1597508720-1534","https://mdcomputers.in","Power Supply","https://mdcomputers.in/smps","","","Antec HCG-850M SMPS 850 Watt 80 Plus Bronze Certification Fully Modular PSU With Active PFC","₹9,187","Antec HCG-850M SMPS 850 Watt 80 Plus Bronze Certification Fully Modular PSU With Active PFC","https://mdcomputers.in/antec-850-watt-80-plus-bronze-fully-modular-hcg-850m-au.html","null"
"1597508636-1280","https://mdcomputers.in","Monitors","https://mdcomputers.in/monitors","3","https://mdcomputers.in/monitors?page=3","LG 24MK430H-B - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, HDMI, D-Sub)","₹9,349","LG 24MK430H-B - 24 Inch Gaming Monitor (AMD FreeSync, 5ms Response Time, FHD IPS Panel, HDMI, D-Sub)","https://mdcomputers.in/lg-24-inch-amd-freesync-gaming-24mk430h-b.html","null"
"1597508764-1605","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","","","Asus Radeon ROG Strix RX 5600 XT OC 6GB GDDR6 192-bit Gaming Graphics Card","₹35,254","Asus Radeon ROG Strix RX 5600 XT OC 6GB GDDR6 192-bit Gaming Graphics Card","https://mdcomputers.in/asus-rog-strix-rx5600xt-o6g-gaming.html","null"
"1597508897-1934","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","3","https://mdcomputers.in/memory?page=3","G.Skill F4-3200C16D-32GVK Desktop Ram Ripjaws V Series 32GB (16GBx2) DDR4 3200MHz Black","₹13,100","G.Skill F4-3200C16D-32GVK Desktop Ram Ripjaws V Series 32GB (16GBx2) DDR4 3200MHz Black","https://mdcomputers.in/g-skill-ripjaws-v-32gb-ddr4-3200mhz-black-f4-3200c16d-32gvk.html","null"
"1597508713-1514","https://mdcomputers.in","Cabinet (Case)","https://mdcomputers.in/cabinet","2","https://mdcomputers.in/cabinet?page=2","Cooler Master MasterCase H500 ARGB (E-ATX) Mid Tower Cabinet With Tempered Glass Side Panel With ARGB Controller (Black)","₹10,200","Cooler Master MasterCase H500 ARGB (E-ATX) Mid Tower Cabinet With Tempered Glass Side Panel With ARGB Controller (Black)","https://mdcomputers.in/cooler-master-mastercase-h500-argb-e-atx-mid-tower-tempered-glass-mcm-h500-ignn-s01.html","null"
"1597509033-4083","https://mdcomputers.in","Corsair Hydro X","https://mdcomputers.in/corsair_hydro_x.html","3","https://mdcomputers.in/corsair-hydro-x.html?page=3","CORSAIR Hydro X Series XT Softline 10/13mm (3/8in / 1/2in) ID/OD Tubing","₹1,564","CORSAIR Hydro X Series XT Softline 10/13mm (3/8in / 1/2in) ID/OD Tubing","https://mdcomputers.in/corsair-hydro-x-xt-softline-13mm-cx-9059001-ww.html","null"
"1597509040-4130","https://mdcomputers.in","Corsair Hydro X","https://mdcomputers.in/corsair_hydro_x.html","2","https://mdcomputers.in/corsair-hydro-x.html?page=2","CORSAIR Hydro X Series XG7 RGB 20-Series GPU Water Block (2080 Ti Strix)","₹15,093","CORSAIR Hydro X Series XG7 RGB 20-Series GPU Water Block (2080 Ti Strix)","https://mdcomputers.in/corsair-hydro-x-gpu-water-block-xg7-rgb-2080-ti-strix-cx-9020006-ww.html","null"
"1597508890-1905","https://mdcomputers.in","Memory (Ram)","https://mdcomputers.in/memory","4","https://mdcomputers.in/memory?page=4","G.Skill FA-8500CL7S-4GBSQ Laptop Ram Mac Series 4GB (4GBx1) DDR3 1066MHz","₹2,740","G.Skill FA-8500CL7S-4GBSQ Laptop Ram Mac Series 4GB (4GBx1) DDR3 1066MHz","https://mdcomputers.in/g-skill-mac-4gb-ddr3-1066mhz-fa-8500cl7s-4gbsq.html","null"
"1597508824-1699","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","","","Adata HD770G RGB 2TB Black External Hard Drive (AHD770G-2TU32G1-CBK)","₹6,400","Adata HD770G RGB 2TB Black External Hard Drive (AHD770G-2TU32G1-CBK)","https://mdcomputers.in/adata-hd770g-rgb-2tb-black-ahd770g-2tu32g1-cbk.html","Out Of Stock"
"1597509021-4048","https://mdcomputers.in","Processor","https://mdcomputers.in/processor","2","https://mdcomputers.in/processor?page=2","9th Gen Intel® Core™ i7-9700K Desktop Processor 8 Cores up to 4.9GHz Unlocked LGA1151 (Intel® 300 Series chipset) 95W BX80684I79700K","₹34,999","9th Gen Intel® Core™ i7-9700K Desktop Processor 8 Cores up to 4.9GHz Unlocked LGA1151 (Intel® 300 Series chipset) 95W BX80684I79700K","https://mdcomputers.in/intel-core-i7-9700k-bx80684i79700k.html","null"
"1597508858-1793","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","3","https://mdcomputers.in/storage?page=3","Hikvision C100 120GB 3D NAND Internal SSD (HS-SSD-C100/120G)","₹2,262","Hikvision C100 120GB 3D NAND Internal SSD (HS-SSD-C100/120G)","https://mdcomputers.in/hikvision-hs-ssd-c100-120g.html","null"
"1597508786-1656","https://mdcomputers.in","Graphic Cards","https://mdcomputers.in/graphics-card","3","https://mdcomputers.in/graphics-card?page=3","Msi Radeon RX 5600 XT Gaming X 6GB GDDR6 192-Bit Gaming Graphics Card","₹32,313","Msi Radeon RX 5600 XT Gaming X 6GB GDDR6 192-Bit Gaming Graphics Card","https://mdcomputers.in/msi-rx-5600-xt-gaming-x-6gb-gddr6.html","null"
"1597508850-1783","https://mdcomputers.in","Storage","https://mdcomputers.in/storage","4","https://mdcomputers.in/storage?page=4","SanDisk Ultra Micro SD 32GB Class 10 Memory Card","₹830","SanDisk Ultra Micro SD 32GB Class 10 Memory Card","https://mdcomputers.in/sandisk-micro-sd-32gb-ultra-class-10-sdsdquar-032g-go61n.html","null"
"1597508974-2110","https://mdcomputers.in","Cooling System","https://mdcomputers.in/cooling-system","","","Cooler Master MasterLiquid ML240P Mirage All In One 240mm CPU Liquid Cooler (MLY-D24M-A20PA-R1)","₹13,000","Cooler Master MasterLiquid ML240P Mirage All In One 240mm CPU Liquid Cooler (MLY-D24M-A20PA-R1)","https://mdcomputers.in/cooler-master-masterliquid-ml240p-mirage-mly-d24m-a20pa-r1.html","null"
