web-scraper-order,web-scraper-start-url,name,price,link,link-href
"1597442363-149","https://www.bitfang.com/computer-hardware","Gigabyte GV-N208SWF3OC-8GD PCI Ex...","₹ 64,000","","https://www.bitfang.com/gigabyte-gv-n208swf3oc-8gd-pci-express-30-graphic-card"
"1597442363-894","https://www.bitfang.com/computer-hardware","Circle CG 16XG case fan","₹ 735","","https://www.bitfang.com/circle-cg-16xg-case-fan-2"
"1597442363-861","https://www.bitfang.com/computer-hardware","ZEB COMPUTER MULTIMEDIA 5.1 SPEAK...","₹ 4,488","","https://www.bitfang.com/zeb-computer-multimedia-51-speaker-2"
"1597442363-443","https://www.bitfang.com/computer-hardware","Cadyce CA-RE300 Wireless 2.4 GHz ...","₹ 1,758","","https://www.bitfang.com/cadyce-ca-re300-10100-mbps-2-lan-port-wireless-router"
"1597442363-880","https://www.bitfang.com/computer-hardware","ZEB COMPUTER MULTIMEDIA 5.1 SPEAK...","₹ 2,885","","https://www.bitfang.com/zeb-computer-multimedia-51-speaker"
"1597442363-607","https://www.bitfang.com/computer-hardware","ADATA AHV620S-1TU31-CBL 1 TB Exte...","₹ 3,343","","https://www.bitfang.com/adata-ahv620s-1tu31-cbl-1-tb-external-hard-drive"
"1597442363-1020","https://www.bitfang.com/computer-hardware","Belkin B2B048 USB Adapter Black","₹ 4,941","","https://www.bitfang.com/belkin-b2b048-usb-adapter"
"1597442363-498","https://www.bitfang.com/computer-hardware","Cadyce CA-U3TDS 3 Port USB Hub","₹ 6,206","","https://www.bitfang.com/usb-30-travel-docking-station"
"1597442363-1253","https://www.bitfang.com/computer-hardware","Gigabyte GAHB250 FINTECH MINING L...","₹ 10,939","","https://www.bitfang.com/gigabyte-gahb250-fintech-mining-lga-1151-intel-b250-ddr4-atx-intel-desktop-motherboard"
"1597442363-1312","https://www.bitfang.com/computer-hardware","Zotac GeForce GTX 1050 TI OC Edit...","₹ 11,299","","https://www.bitfang.com/zotac-zt-p10510b-10l-geforce-gtx-1050-ti-oc-edition-pci-express-30-graphics-card"
"1597442363-1260","https://www.bitfang.com/computer-hardware","iBall  GrabOn  Mini-Series Mini I...","₹ 2,376","","https://www.bitfang.com/iball-grabon-micro-atx-mini-itx-cabinet"
"1597442363-901","https://www.bitfang.com/computer-hardware","LG 27UK850 AMD FreeSync Flat Scre...","₹ 46,618","","https://www.bitfang.com/lg-27uk850-27-in-60-hz-lcd"
"1597442363-998","https://www.bitfang.com/computer-hardware","Dell MOP7P Laptop Battery Black","₹ 3,233","","https://www.bitfang.com/dell-mop7p-battery-black"
"1597442363-383","https://www.bitfang.com/computer-hardware","AMD Ryzen Threadripper YD297XAZAF...","₹ 1,01,920","","https://www.bitfang.com/amd-ryzen-threadripper-yd297xazafwof-24-core-42-ghz-str4-desktop-processor"
"1597442363-138","https://www.bitfang.com/computer-hardware","INNO3D N206S2-08D6X-1710VA15LB GE...","₹ 34,000","","https://www.bitfang.com/inno3d-n206s2-08d6x-1710va15lb-geforce-rtx-20-super-pci-express-30-graphic-card"
"1597442363-1225","https://www.bitfang.com/computer-hardware","Corsair CMR32GX4M2C3200C 32GB 320...","₹ 35,999","","https://www.bitfang.com/corsair-cmr32gx4m2c3200c-32-gb-3200mhz-ddr4-desktop-ram"
"1597442363-800","https://www.bitfang.com/computer-hardware","Honeywell Youjie YJ HF600 2D Area...","₹ 12,140","","https://www.bitfang.com/honeywell-youjie-yj-hf600-2d-area-imaging-barcode-scanner"
"1597442363-185","https://www.bitfang.com/computer-hardware","ASRock X570-PHANTOM-GAMING-X AM4 ...","₹ 30,400","","https://www.bitfang.com/asrock-x570-phantom-gaming-x-am4-amd-x570-ddr4-atx-amd-desktop-motherboard"
"1597442363-743","https://www.bitfang.com/computer-hardware","Gigabyte Ga-H61M-S LGA 1155 Intel...","₹ 5,442","","https://www.bitfang.com/gigabyte-ga-h61m-s-lga-1155-intel-h61-ddr3-micro-atx-desktop-motherboard"
"1597442363-1034","https://www.bitfang.com/computer-hardware","D-Link DCH-S150/IN Wireless 2.4 G...","₹ 1,845","","https://www.bitfang.com/d-link-dch-s150in-24-ghz-wireless"
"1597442363-769","https://www.bitfang.com/computer-hardware","Apple 60W MagSafe 2 Laptop Power ...","₹ 6,516","","https://www.bitfang.com/apple-60w-magsafe-2-power-adapter-macbook-pro-with-13-inch-retina-display"
"1597442363-205","https://www.bitfang.com/computer-hardware","Gskill FA-1600C11S-4GSQ 4 GB 1600...","₹ 3,010","","https://www.bitfang.com/gskill-fa-1600c11s-4gsq-4-gb-1600-mhz-ddr3-desktop-memory"
"1597442363-318","https://www.bitfang.com/computer-hardware","Samsung M470T5663QZ3-CF7 2 GB 640...","₹ 637","","https://www.bitfang.com/samsung-m470t5663qz3-cf7-2-gb-6400-mhz-cl6-ddr2-laptop-memory"
"1597442363-963","https://www.bitfang.com/computer-hardware","Belkin A3X126-15-RED 4.57 mtr Pat...","₹ 772","","https://www.bitfang.com/belkin-a3x126-15-red-457mtr-patch-cord"
"1597442363-903","https://www.bitfang.com/computer-hardware","Asus PRIME H310M-E LGA 1151 Intel...","₹ 4,850","","https://www.bitfang.com/asus-prime-h310m-e-intel-h310-ddr4-uatx-desktop-motherboards"
"1597442363-5","https://www.bitfang.com/computer-hardware","Amkette HUSHPROMOUSE Wireless USB...","₹ 401","","https://www.bitfang.com/amkette-hushpromouse-wireless-usb-3-buttons-mouse"
"1597442363-653","https://www.bitfang.com/computer-hardware","ADATA AUV350-32G-RBK Silver 32 GB...","₹ 366","","https://www.bitfang.com/adata-auv350-32g-rbk-silver-32-gb-usb-32"
"1597442363-431","https://www.bitfang.com/computer-hardware","AMD A-Series APU FD4300WMHKBOX 4 ...","₹ 6,097","","https://www.bitfang.com/amd-a-series-apu-fd4300wmhkbox-4-core-38-ghz-am3-desktop-processor"
"1597442363-109","https://www.bitfang.com/computer-hardware","Gigabyte B450M-AORUS-ELITE AM4 AM...","₹ 9,100","","https://www.bitfang.com/gigabyte-b450m-aorus-elite-am4-amd-b450-ddr4-micro-atx-amd-desktop-motherboard"
"1597442363-521","https://www.bitfang.com/computer-hardware","Cadyce CA-ULCS(3) 3 mtr Lightning...","₹ 1,452","","https://www.bitfang.com/cadyce-ca-ulcs3-3-mtr-lightning-cable"
"1597442363-601","https://www.bitfang.com/computer-hardware","Lapcare LOMOPS6450 Wired PS2 3 Bu...","₹ 188","","https://www.bitfang.com/lapcare-lomops6450-3-buttons-wired-ps2"
"1597442363-591","https://www.bitfang.com/computer-hardware","Zebronics ZEB-A16HD AMD FreeSync ...","₹ 3,674","","https://www.bitfang.com/zebronics-zeb-a16hd-amd-freesync-flat-screen-60-hz-1366-x-768-tn-156-in-monitor"
"1597442363-28","https://www.bitfang.com/computer-hardware","Amkette 30PINUSBCABLE USB Cable B...","₹ 395","","https://www.bitfang.com/amkette-30pinusbcable-usb-cable-black"
"1597442363-1133","https://www.bitfang.com/computer-hardware","ADATA Dash Elite ASE720-128GU3-CT...","₹ 7,830","","https://www.bitfang.com/adata-ase720-128gu3-cti-dash-128-gb-external-solid-state-drive"
"1597442363-634","https://www.bitfang.com/computer-hardware","ADATA AUV350-16G-RBK Silver 16 GB...","₹ 319","","https://www.bitfang.com/adata-auv350-16g-rbk-silver-16-gb-usb-31"
"1597442363-1045","https://www.bitfang.com/computer-hardware","D-Link DGS-3120-24TC 24 10/100 Mb...","₹ 39,599","","https://www.bitfang.com/d-link-dgs-3120-24tc-24-10100-mbps-rackmount-switch"
"1597442363-1239","https://www.bitfang.com/computer-hardware","Logitech 493857 Wired USB 3 Butto...","₹ 295","","https://www.bitfang.com/logitech-493857-wired-usb-3-buttons-mouse"
"1597442363-994","https://www.bitfang.com/computer-hardware","Dell 462-3650 Laptop Battery Blac...","₹ 2,919","","https://www.bitfang.com/dell-462-3650-battery-black"
"1597442363-474","https://www.bitfang.com/computer-hardware","Asus ROG STRIX X570-E GAMING AM4 ...","₹ 28,018","","https://www.bitfang.com/asus-rog-strix-x570-e-gaming-am4-amd-x570-ddr4-atx-amd-desktop-motherboard"
"1597442363-10","https://www.bitfang.com/computer-hardware","Amkette XCITENEOMOUUSB Keyboard a...","₹ 494","","https://www.bitfang.com/amkette-xciteneomouusb-keyboard-and-mouse-black"
"1597442363-256","https://www.bitfang.com/computer-hardware","Gigabyte H310M H 2.0 LGA 1151 Int...","₹ 4,900","","https://www.bitfang.com/gigabyte-h310m-h-20"
"1597442363-229","https://www.bitfang.com/computer-hardware","Gskill F4-2400C17S-4GVR 4GB 2400 ...","₹ 2,162","","https://www.bitfang.com/gskill-f4-2400c17s-4gvr-4gb-2400-mhz-ddr4-desktop-memory"
"1597442363-844","https://www.bitfang.com/computer-hardware","Zebronics Dhoom-BT RUCF 5.1 Chann...","₹ 16,533","","https://www.bitfang.com/zebronics-dhoom-bt-rucf-bluetooth-51-multi-media-speaker"
"1597442363-1230","https://www.bitfang.com/computer-hardware","APC BR1000G-IN 1000 VA 600 Watts ...","₹ 10,777","","https://www.bitfang.com/apc-br1000g-in-1000-va-600-watts-ups"
"1597442363-1142","https://www.bitfang.com/computer-hardware","ADATA SE730H SD700 256 GB USB 3.1...","₹ 4,041","","https://www.bitfang.com/adata-se730h-sd700-256-gb-external-solid-state-drive"
"1597442363-365","https://www.bitfang.com/computer-hardware","Galax GeForce GTX 1050 TI GTX 10 ...","₹ 10,878","","https://www.bitfang.com/galax-glx-gtx1050ti-exoc-gtx-10-pci-express-30-graphics-card"
"1597442363-1051","https://www.bitfang.com/computer-hardware","Plantronics 89259-01 LAN Adapter","₹ 3,273","","https://www.bitfang.com/plantronics-89259-01-lan-adapter"
"1597442363-1090","https://www.bitfang.com/computer-hardware","ADATA AHD710MP-1TU31-CCF 1 TB USB...","₹ 4,252","","https://www.bitfang.com/adata-ahd710mp-1tu31-ccf-1-tb-usb-no-portable-hdds"
"1597442363-341","https://www.bitfang.com/computer-hardware","Zebronics ZEB-A27FHD LED AMD Free...","₹ 12,489","","https://www.bitfang.com/zebronics-zeb-a27fhd-led-amd-freesync-flat-screen-144-hz-1920-x-1080-va-27-in-monitor"
"1597442363-1022","https://www.bitfang.com/computer-hardware","ASRock FATAL1TY Z170 GAMING K4 LG...","₹ 22,492","","https://www.bitfang.com/asrock-fatal1ty-z170-gaming-k4-intel-z170-ddr4-atx-desktop-motherboards"
"1597442363-1038","https://www.bitfang.com/computer-hardware","D-Link DAP-1522 Wireless 2.4 GHz ...","₹ 26,721","","https://www.bitfang.com/d-link-dap-1522-24-to-2483-ghz-wireless"
"1597442363-290","https://www.bitfang.com/computer-hardware","Tenda 4G LTE Router Wireless 4 30...","₹ 5,934","","https://www.bitfang.com/tenda-4g-lte-router-wireless-4-300-mbps-dual-band-2-lan-wireless-router"
"1597442363-513","https://www.bitfang.com/computer-hardware","Cadyce CA-ULCR(1.2) 1.2 mtr Light...","₹ 997","","https://www.bitfang.com/cadyce-ca-ulcr12-12-mtr-lightning-cable"
"1597442363-1151","https://www.bitfang.com/computer-hardware","Antec KUHLER 1250 2400 RPM CPU Fa...","₹ 8,711","","https://www.bitfang.com/antec-kuhler-1250-2400-rpm-cpu-fans-heatsink"
