web-scraper-order,web-scraper-start-url,name,price,instock,link,link-href
"1597509001-3389","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","LOGITECH G231 STEREO BLACK GAMING HEADSET","₹3,075","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=2139"
"1597509001-2932","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","DEEPCOOL GAMERSTORM CASTLE 360EX CPU COOLER","₹10,499","null","","https://www.vedantcomputers.com/products?product_id=3147"
"1597509001-2693","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","CORSAIR 16GB (16GBX1) DDR4 - 3000 MHZ C16 VENGEANCE RGB PRO SERIES RAM","₹6,700","null","","https://www.vedantcomputers.com/products/corsair-16gb-1x16gb-ddr4-3000-mhz-c16-vengeance-rgb-pro-series"
"1597509001-2677","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","COOLER MASTER RYZEN THREADRIPPER WRAITH RIPPER CPU COOLER","₹10,400","Out Of Stock","","https://www.vedantcomputers.com/products/cooler-master-ryzen-threadripper-wraith-ripper"
"1597509001-2442","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ASUS PRIME H410M-E MOTHERBOARD","₹7,425","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=3388"
"1597509001-3813","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","STEELSERIES QCK GAMING MOUSE PAD","₹850","Out Of Stock","","https://www.vedantcomputers.com/products/steelseries-qck-gaming-mouse-pad"
"1597509001-3513","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","MSI GEFORCE RTX 2080 SUPER VENTUS XS OC GDDR6","₹63,590","null","","https://www.vedantcomputers.com/products?product_id=3014"
"1597509001-3764","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","SAMSUNG SSD 970 EVO PLUS NVME M.2 250 GB","₹6,100","null","","https://www.vedantcomputers.com/products/samsung-970-evo-plus-nvme-m-2-250-gb"
"1597509001-3935","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ZOTAC GAMING GEFORCE RTX 2080 SUPER TRIPLE FAN 8GB GDDR6","₹62,900","Out Of Stock","","https://www.vedantcomputers.com/products?product_id=2966"
"1597509001-2225","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","AMD RYZEN 5 2400G WITH RADEON RX VEGA 11 GRAPHICS PROCESSOR ( upto 3.9 GHz / 4 MB cache)","₹10,300","Out Of Stock","null",""
"1597509001-3924","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ZOTAC GAMING GEFORCE RTX 2070 MINI 8GB GDDR6","₹39,999 ₹33,999","Out Of Stock","","https://www.vedantcomputers.com/products/zotac-geforce-rtx-2070-mini-8gb-gddr6"
"1597509001-2237","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","AMD Ryzen 9 3900X (12 Cores 24 Threads, With Max Boost Clock Of 4.6GHz, Base Clock Of 3.8GHz And 70MB Game Cache)","₹45,800 ₹44,700","null","","https://www.vedantcomputers.com/products/amd-ryzen-9-3900x-processor-upto-4-6-ghz-70-mb-cache"
"1597509001-3943","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ZOTAC GEFORCE GT 730 2GB GDDR5","₹4,750","Out Of Stock","","https://www.vedantcomputers.com/products/zotac-geforce-gt-730-2gb-ddr5"
"1597509001-3728","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","SAMSUNG 860 QVO SATA III 2.5 INCH 2TB SSD","₹24,100","Out Of Stock","","https://www.vedantcomputers.com/products/samsung-860-qvo-sata-iii-2-5-inch-2tb"
"1597509001-3422","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","LOGITECH STEREO G331 GAMING HEADSET","₹4,950","null","","https://www.vedantcomputers.com/products?product_id=3264"
"1597509001-3365","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","LG 24GL600F-B 24 INCH CLASS ULTRAGEAR GAMING MONITOR","₹14,150","null","","https://www.vedantcomputers.com/products/lg-24gl600f-b-24-inch-class-ultragear-gaming-monitor"
"1597509001-3946","https://www.vedantcomputers.com/products#/sort=p.sort_order/order=ASC/limit=10000","ZOTAC GEFORCE GT1030 2GB GDDR5","₹6,400","null","","https://www.vedantcomputers.com/products/zotac-geforce-gt-1030-2gb-gddr5"
