web-scraper-order,web-scraper-start-url,page,page-href,name,price,stock,link,link-href
"1597510262-6310","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/26/?post_type=product&taxonomy=product_cat&s","Corsair CV Series CV450 450 Watt 80 Plus Bronze Certified PSU CP-9020209-NA","₹4,500 ₹3,377","null","Corsair CV Series CV450 450 Watt 80 Plus Bronze Certified PSU CP-9020209-NA","https://www.primeabgb.com/online-price-reviews-india/corsair-cv-series-cv450-450-watt-80-plus-bronze-certified-psu-cp-9020209-na/"
"1597509661-5246","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/62/?post_type=product&taxonomy=product_cat&s","Samsung 883 DCT 3.84TB SATA 2.5 inch Enterprise SSD MZ-7LH3T8NE","Call for Price","Sold Out","Samsung 883 DCT 3.84TB SATA 2.5 inch Enterprise SSD MZ-7LH3T8NE","https://www.primeabgb.com/online-price-reviews-india/samsung-883-dct-3-84tb-sata-2-5-enterprise-ssd-mz-7lh3t8ne/"
"1597509944-5748","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/45/?post_type=product&taxonomy=product_cat&s","NZXT H Series H510 Matte White Tempered Glass ATX Mid Tower Case CA-H510B-W1","₹9,399 ₹6,800","Sold Out","NZXT H Series H510 Matte White Tempered Glass ATX Mid Tower Case CA-H510B-W1","https://www.primeabgb.com/online-price-reviews-india/nzxt-h-series-h510-matte-white-tempered-glass-atx-mid-tower-case-ca-h510b-w1/"
"1597509978-5804","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/43/?post_type=product&taxonomy=product_cat&s","Corsair iCUE 220T RGB Airflow Tempered Glass Black Mid-Tower Smart Case CC-9011173-WW","₹10,328 ₹8,262","null","Corsair iCUE 220T RGB Airflow Tempered Glass Black Mid-Tower Smart Case CC-9011173-WW","https://www.primeabgb.com/online-price-reviews-india/corsair-icue-220t-rgb-airflow-tempered-glass-black-mid-tower-smart-case-cc-9011173-ww/"
"1597509778-5443","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/55/?post_type=product&taxonomy=product_cat&s","Ant Esports MK1000 Multicolour LED Backlit Wired TKL Mechanical Gaming Keyboard","₹3,500 ₹2,150","Sold Out","Ant Esports MK1000 Multicolour LED Backlit Wired TKL Mechanical Gaming Keyboard","https://www.primeabgb.com/online-price-reviews-india/ant-esports-mk1000-multicolour-led-backlit-wired-tkl-mechanical-gaming-keyboard/"
"1597509795-5460","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/54/?post_type=product&taxonomy=product_cat&s","ASUS PRIME B365M-C/CSM Micro-ATX B365 Motherboard","₹9,900 ₹7,199","Sold Out","ASUS PRIME B365M-C/CSM Micro-ATX B365 Motherboard","https://www.primeabgb.com/online-price-reviews-india/asus-prime-b365m-ccsm-micro-atx-b365-motherboard/"
"1597509522-4983","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/70/?post_type=product&taxonomy=product_cat&s","Thermaltake SMART RGB 600W 80 Plus SMPS PS-SPR-0600NHSAWE-1","₹7,000 ₹4,750","Sold Out","Thermaltake SMART RGB 600W 80 Plus SMPS PS-SPR-0600NHSAWE-1","https://www.primeabgb.com/online-price-reviews-india/thermaltake-smart-rgb-600w-80-plus-smps-ps-spr-0600nhsawe-1/"
"1597510031-5908","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/40/?post_type=product&taxonomy=product_cat&s","G.skill Trident Z RGB Series 32GB (2x16GB) 3600 MHz DDR4 Memory F4-3600C16D-32GTZRC","₹23,110 ₹18,488","Sold Out","G.skill Trident Z RGB Series 32GB (2x16GB) 3600 MHz DDR4 Memory F4-3600C16D-32GTZRC","https://www.primeabgb.com/online-price-reviews-india/g-skill-trident-z-rgb-series-32gb-2x16gb-3600-mhz-ddr4-memory-f4-3600c16d-32gtzrc/"
"1597510405-6595","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/17/?post_type=product&taxonomy=product_cat&s","Intel D3-S4610 Series 240 GB 2.5″ SATA 3.0 Enterprise SSD SSDSC2KG240G8","₹12,500 ₹10,032","null","Intel D3-S4610 Series 240 GB 2.5″ SATA 3.0 Enterprise SSD SSDSC2KG240G8","https://www.primeabgb.com/online-price-reviews-india/intel-d3-s4610-series-240-gb-2-5%e2%80%b3-sata-3-0-enterprise-ssd-ssdsc2kg240g8/"
"1597509480-4903","https://www.primeabgb.com/?post_type=product&taxonomy=product_cat&s=","Prev","https://www.primeabgb.com/page/73/?post_type=product&taxonomy=product_cat&s","Viewsonic 21.5 inch VA2261-6 TN Monitor","₹9,000 ₹7,050","Sold Out","Viewsonic 21.5 inch VA2261-6 TN Monitor","https://www.primeabgb.com/online-price-reviews-india/viewsonic-21-5-va2261-6-tn-monitor/"
